Gmt time,Open,High,Low,Close,Volume
01.05.2021 00:00:00.000,4.55005,4.55005,4.55005,4.55005,0
01.05.2021 01:00:00.000,4.55005,4.55005,4.55005,4.55005,0
01.05.2021 02:00:00.000,4.55005,4.55005,4.55005,4.55005,0
01.05.2021 03:00:00.000,4.55005,4.55005,4.55005,4.55005,0
01.05.2021 04:00:00.000,4.55005,4.55005,4.55005,4.55005,0
01.05.2021 05:00:00.000,4.55005,4.55005,4.55005,4.55005,0
01.05.2021 06:00:00.000,4.55005,4.55005,4.55005,4.55005,0
01.05.2021 07:00:00.000,4.55005,4.55005,4.55005,4.55005,0
01.05.2021 08:00:00.000,4.55005,4.55005,4.55005,4.55005,0
01.05.2021 09:00:00.000,4.55005,4.55005,4.55005,4.55005,0
01.05.2021 10:00:00.000,4.55005,4.55005,4.55005,4.55005,0
01.05.2021 11:00:00.000,4.55005,4.55005,4.55005,4.55005,0
01.05.2021 12:00:00.000,4.55005,4.55005,4.55005,4.55005,0
01.05.2021 13:00:00.000,4.55005,4.55005,4.55005,4.55005,0
01.05.2021 14:00:00.000,4.55005,4.55005,4.55005,4.55005,0
01.05.2021 15:00:00.000,4.55005,4.55005,4.55005,4.55005,0
01.05.2021 16:00:00.000,4.55005,4.55005,4.55005,4.55005,0
01.05.2021 17:00:00.000,4.55005,4.55005,4.55005,4.55005,0
01.05.2021 18:00:00.000,4.55005,4.55005,4.55005,4.55005,0
01.05.2021 19:00:00.000,4.55005,4.55005,4.55005,4.55005,0
01.05.2021 20:00:00.000,4.55005,4.55005,4.55005,4.55005,0
01.05.2021 21:00:00.000,4.55005,4.55005,4.55005,4.55005,0
01.05.2021 22:00:00.000,4.55005,4.55005,4.55005,4.55005,0
01.05.2021 23:00:00.000,4.55005,4.55005,4.55005,4.55005,0
02.05.2021 00:00:00.000,4.55005,4.55005,4.55005,4.55005,0
02.05.2021 01:00:00.000,4.55005,4.55005,4.55005,4.55005,0
02.05.2021 02:00:00.000,4.55005,4.55005,4.55005,4.55005,0
02.05.2021 03:00:00.000,4.55005,4.55005,4.55005,4.55005,0
02.05.2021 04:00:00.000,4.55005,4.55005,4.55005,4.55005,0
02.05.2021 05:00:00.000,4.55005,4.55005,4.55005,4.55005,0
02.05.2021 06:00:00.000,4.55005,4.55005,4.55005,4.55005,0
02.05.2021 07:00:00.000,4.55005,4.55005,4.55005,4.55005,0
02.05.2021 08:00:00.000,4.55005,4.55005,4.55005,4.55005,0
02.05.2021 09:00:00.000,4.55005,4.55005,4.55005,4.55005,0
02.05.2021 10:00:00.000,4.55005,4.55005,4.55005,4.55005,0
02.05.2021 11:00:00.000,4.55005,4.55005,4.55005,4.55005,0
02.05.2021 12:00:00.000,4.55005,4.55005,4.55005,4.55005,0
02.05.2021 13:00:00.000,4.55005,4.55005,4.55005,4.55005,0
02.05.2021 14:00:00.000,4.55005,4.55005,4.55005,4.55005,0
02.05.2021 15:00:00.000,4.55005,4.55005,4.55005,4.55005,0
02.05.2021 16:00:00.000,4.55005,4.55005,4.55005,4.55005,0
02.05.2021 17:00:00.000,4.55005,4.55005,4.55005,4.55005,0
02.05.2021 18:00:00.000,4.55005,4.55005,4.55005,4.55005,0
02.05.2021 19:00:00.000,4.55005,4.55005,4.55005,4.55005,0
02.05.2021 20:00:00.000,4.55005,4.55005,4.55005,4.55005,0
02.05.2021 21:00:00.000,4.55311,4.55578,4.54977,4.55577,12250000
02.05.2021 22:00:00.000,4.55577,4.55691,4.55549,4.55609,40000000
02.05.2021 23:00:00.000,4.55609,4.55844,4.55450,4.55753,198869995.1172
03.05.2021 00:00:00.000,4.55783,4.55837,4.55613,4.55722,3620870117.1875
03.05.2021 01:00:00.000,4.55722,4.55742,4.55606,4.55721,350000000
03.05.2021 02:00:00.000,4.55687,4.55727,4.55659,4.55721,97000000
03.05.2021 03:00:00.000,4.55721,4.55722,4.55662,4.55722,85250000
03.05.2021 04:00:00.000,4.55687,4.55722,4.55637,4.55721,83000000
03.05.2021 05:00:00.000,4.55688,4.55731,4.55649,4.55705,100000000
03.05.2021 06:00:00.000,4.55709,4.55774,4.55559,4.55580,197449996.9482
03.05.2021 07:00:00.000,4.55571,4.55903,4.54427,4.55284,2236949951.1719
03.05.2021 08:00:00.000,4.55286,4.55619,4.55217,4.55596,764820007.3242
03.05.2021 09:00:00.000,4.55602,4.55602,4.55355,4.55547,351320007.3242
03.05.2021 10:00:00.000,4.55547,4.55597,4.54893,4.54907,415220001.2207
03.05.2021 11:00:00.000,4.54909,4.54933,4.54471,4.54933,352679992.6758
03.05.2021 12:00:00.000,4.54936,4.55124,4.54483,4.54507,627179992.6758
03.05.2021 13:00:00.000,4.54498,4.54507,4.54153,4.54365,414869995.1172
03.05.2021 14:00:00.000,4.54369,4.54690,4.54315,4.54554,1103280029.2969
03.05.2021 15:00:00.000,4.54571,4.55113,4.53439,4.54447,1431300048.8281
03.05.2021 16:00:00.000,4.54457,4.54586,4.54329,4.54531,1235979980.4688
03.05.2021 17:00:00.000,4.54551,4.54798,4.53995,4.54043,1830390014.6484
03.05.2021 18:00:00.000,4.54024,4.54188,4.54019,4.54074,403899993.8965
03.05.2021 19:00:00.000,4.54077,4.54082,4.54042,4.54074,120480003.3569
03.05.2021 20:00:00.000,4.54063,4.54326,4.54032,4.54325,2804090087.8906
03.05.2021 21:00:00.000,4.54326,4.54326,4.53126,4.53882,420109985.3516
03.05.2021 22:00:00.000,4.53898,4.54071,4.53822,4.53856,786950012.207
03.05.2021 23:00:00.000,4.54051,4.54084,4.53995,4.54063,236000000
04.05.2021 00:00:00.000,4.54063,4.54112,4.54018,4.54077,3018250000
04.05.2021 01:00:00.000,4.54083,4.54360,4.54055,4.54158,791330017.0898
04.05.2021 02:00:00.000,4.54157,4.54227,4.54105,4.54227,289989990.2344
04.05.2021 03:00:00.000,4.54227,4.54464,4.54081,4.54122,3380000000
04.05.2021 04:00:00.000,4.54093,4.54398,4.54066,4.54328,1596709960.9375
04.05.2021 05:00:00.000,4.54292,4.54536,4.54171,4.54483,2023130004.8828
04.05.2021 06:00:00.000,4.54504,4.54828,4.53714,4.53999,1159209960.9375
04.05.2021 07:00:00.000,4.53998,4.55305,4.53964,4.55113,1022820007.3242
04.05.2021 08:00:00.000,4.55112,4.55496,4.54463,4.55376,2288120117.1875
04.05.2021 09:00:00.000,4.55375,4.55375,4.54754,4.54904,1944780029.2969
04.05.2021 10:00:00.000,4.54958,4.55399,4.54819,4.55263,2763330078.125
04.05.2021 11:00:00.000,4.55282,4.56003,4.55247,4.55668,1865869995.1172
04.05.2021 12:00:00.000,4.55684,4.56216,4.55570,4.55866,3300929931.6406
04.05.2021 13:00:00.000,4.55879,4.56278,4.55737,4.55911,2040439941.4063
04.05.2021 14:00:00.000,4.55923,4.56111,4.55594,4.56039,1984060058.5938
04.05.2021 15:00:00.000,4.56024,4.56375,4.55629,4.55982,3742379882.8125
04.05.2021 16:00:00.000,4.55982,4.56090,4.55624,4.55847,7671979980.4688
04.05.2021 17:00:00.000,4.55830,4.56054,4.55713,4.55870,1685359985.3516
04.05.2021 18:00:00.000,4.55867,4.56058,4.55628,4.55661,7550709960.9375
04.05.2021 19:00:00.000,4.55668,4.55690,4.55650,4.55682,86000000
04.05.2021 20:00:00.000,4.55662,4.55867,4.55346,4.55346,3760929931.6406
04.05.2021 21:00:00.000,4.55217,4.55316,4.54193,4.55236,163619995.1172
04.05.2021 22:00:00.000,4.55235,4.55466,4.55139,4.55222,3943590087.8906
04.05.2021 23:00:00.000,4.55261,4.55514,4.55232,4.55267,1053420043.9453
05.05.2021 00:00:00.000,4.55243,4.55428,4.55195,4.55231,2719169921.875
05.05.2021 01:00:00.000,4.55267,4.55422,4.55221,4.55283,1934060058.5938
05.05.2021 02:00:00.000,4.55260,4.55303,4.54915,4.55072,1438119995.1172
05.05.2021 03:00:00.000,4.55067,4.55358,4.55057,4.55358,165500000
05.05.2021 04:00:00.000,4.55339,4.55472,4.55297,4.55401,470000000
05.05.2021 05:00:00.000,4.55401,4.55453,4.55327,4.55437,284750000
05.05.2021 06:00:00.000,4.55438,4.55915,4.55411,4.55807,606500000
05.05.2021 07:00:00.000,4.55801,4.56896,4.55725,4.56730,1148119995.1172
05.05.2021 08:00:00.000,4.56737,4.57574,4.56737,4.57360,1066459960.9375
05.05.2021 09:00:00.000,4.57341,4.57639,4.57123,4.57575,837239990.2344
05.05.2021 10:00:00.000,4.57575,4.57886,4.57327,4.57605,647679992.6758
05.05.2021 11:00:00.000,4.57613,4.58020,4.57557,4.57632,294500000
05.05.2021 12:00:00.000,4.57637,4.57714,4.57194,4.57283,737320007.3242
05.05.2021 13:00:00.000,4.57274,4.57454,4.56861,4.57171,809010009.7656
05.05.2021 14:00:00.000,4.57165,4.58463,4.57165,4.57598,1909550048.8281
05.05.2021 15:00:00.000,4.57599,4.57864,4.56874,4.56910,1543640014.6484
05.05.2021 16:00:00.000,4.56917,4.57007,4.56429,4.56781,913570007.3242
05.05.2021 17:00:00.000,4.56781,4.56903,4.56688,4.56826,109199996.9482
05.05.2021 18:00:00.000,4.56831,4.56871,4.56691,4.56832,829659973.1445
05.05.2021 19:00:00.000,4.56834,4.57142,4.56781,4.56997,1545569946.2891
05.05.2021 20:00:00.000,4.56994,4.57346,4.56766,4.56873,1943250000
05.05.2021 21:00:00.000,4.56874,4.57007,4.56717,4.56924,35869998.9319
05.05.2021 22:00:00.000,4.56926,4.57141,4.56773,4.56890,480119995.1172
05.05.2021 23:00:00.000,4.56784,4.57490,4.56783,4.57391,354000000
06.05.2021 00:00:00.000,4.57402,4.57727,4.56800,4.57286,1135089965.8203
06.05.2021 01:00:00.000,4.57285,4.57933,4.57269,4.57828,1116459960.9375
06.05.2021 02:00:00.000,4.57822,4.57857,4.57804,4.57847,119500000
06.05.2021 03:00:00.000,4.57847,4.57853,4.57805,4.57824,144000000
06.05.2021 04:00:00.000,4.57829,4.57851,4.57805,4.57850,93000000
06.05.2021 05:00:00.000,4.57851,4.57894,4.57751,4.57777,143899993.8965
06.05.2021 06:00:00.000,4.57777,4.57901,4.57469,4.57693,457619995.1172
06.05.2021 07:00:00.000,4.57665,4.57684,4.56612,4.56612,2064320068.3594
06.05.2021 08:00:00.000,4.56632,4.58330,4.56502,4.58128,2725669921.875
